,ID,innings,overs,ballnumber,batter,bowler,non-striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam
342,1312199,1,17,3,MK Lomror,OC McCoy,KD Karthik,,0,0,0,0,0,,,,Royal Challengers Bangalore
343,1312199,1,17,4,MK Lomror,OC McCoy,KD Karthik,,0,0,0,0,1,MK Lomror,caught,R Ashwin,Royal Challengers Bangalore
344,1312199,1,17,5,Shahbaz Ahmed,OC McCoy,KD Karthik,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
345,1312199,1,17,6,Shahbaz Ahmed,OC McCoy,KD Karthik,,4,0,4,0,0,,,,Royal Challengers Bangalore
346,1312199,1,17,7,Shahbaz Ahmed,OC McCoy,KD Karthik,,0,0,0,0,0,,,,Royal Challengers Bangalore
347,1312199,1,18,1,KD Karthik,M Prasidh Krishna,Shahbaz Ahmed,,0,0,0,0,1,KD Karthik,caught,R Parag,Royal Challengers Bangalore
348,1312199,1,18,2,PWH de Silva,M Prasidh Krishna,Shahbaz Ahmed,,0,0,0,0,1,PWH de Silva,bowled,,Royal Challengers Bangalore
349,1312199,1,18,3,HV Patel,M Prasidh Krishna,Shahbaz Ahmed,,1,0,1,0,0,,,,Royal Challengers Bangalore
350,1312199,1,18,4,Shahbaz Ahmed,M Prasidh Krishna,HV Patel,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
351,1312199,1,18,5,Shahbaz Ahmed,M Prasidh Krishna,HV Patel,,0,0,0,0,0,,,,Royal Challengers Bangalore
352,1312199,1,18,6,Shahbaz Ahmed,M Prasidh Krishna,HV Patel,,6,0,6,0,0,,,,Royal Challengers Bangalore
353,1312199,1,18,7,Shahbaz Ahmed,M Prasidh Krishna,HV Patel,,0,0,0,0,0,,,,Royal Challengers Bangalore
354,1312199,1,19,1,HV Patel,OC McCoy,Shahbaz Ahmed,,0,0,0,0,1,HV Patel,bowled,,Royal Challengers Bangalore
355,1312199,1,19,2,JR Hazlewood,OC McCoy,Shahbaz Ahmed,,0,0,0,0,0,,,,Royal Challengers Bangalore
356,1312199,1,19,3,JR Hazlewood,OC McCoy,Shahbaz Ahmed,,1,0,1,0,0,,,,Royal Challengers Bangalore
357,1312199,1,19,4,Shahbaz Ahmed,OC McCoy,JR Hazlewood,,0,0,0,0,0,,,,Royal Challengers Bangalore
358,1312199,1,19,5,Shahbaz Ahmed,OC McCoy,JR Hazlewood,,0,0,0,0,0,,,,Royal Challengers Bangalore
359,1312199,1,19,6,Shahbaz Ahmed,OC McCoy,JR Hazlewood,,2,0,2,0,0,,,,Royal Challengers Bangalore
456,1312199,2,16,1,D Padikkal,JR Hazlewood,JC Buttler,,1,0,1,0,0,,,,Rajasthan Royals
